#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Salmonella enterica	KF34	"KF34,""NMSU-KF34"",""SRS13753412"""	Rubislaw	PDT001355525.1	2022-07-08T19:37:48Z	Nigeria	beef	environmental/other				SAMN29600174	GCA_024197275.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=11:r:e,n,x,serotype=Rubislaw
Salmonella enterica	KFB27	"KFB27,""NMSU-KFB27"",""SRS13753411"""		PDT001355526.1	2022-07-08T19:37:48Z	Nigeria	beef	environmental/other	PDS000114678.1	1.0		SAMN29600173	GCA_024197375.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:i:1,5,serotype=Takoradi or Bargny
Salmonella enterica	KFB17	"KFB17,""NMSU-KFB17"",""SRS13753409"""	Waycross	PDT001355528.1	2022-07-08T19:37:49Z	Nigeria	beef	environmental/other				SAMN29600171	GCA_024200015.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=41:z4,z23:-,serotype=Waycross
Salmonella enterica	KFB13	"KFB13,""NMSU-KFB13"",""SRS13753407"""	Urbana	PDT001355530.1	2022-07-08T19:37:49Z	Nigeria	beef	environmental/other				SAMN29600169	GCA_024197095.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=30:b:e,n,x,serotype=Urbana
Salmonella enterica	KFB122	"KFB122,""NMSU-KFB122"",""SRS14290307"""	Techimani	PDT001369100.1	2022-07-25T21:42:38Z	Nigeria	beef	environmental/other	PDS000114658.2	1.0		SAMN29945693	GCA_024444215.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=28:c:z6,serotype=Techimani
Salmonella enterica	KFB117	"KFB117,""NMSU-KFB117"",""SRS14290306"""	Colindale	PDT001369102.1	2022-07-25T21:42:39Z	Nigeria	beef	environmental/other	PDS000029283.3	27.0		SAMN29945691	GCA_024442075.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,7,serotype=Colindale
Salmonella enterica	KFB104	"KFB104,""NMSU-KFB104"",""SRS14290301"""	Yaba	PDT001369107.1	2022-07-25T21:42:41Z	Nigeria	beef	environmental/other				SAMN29945686	GCA_024441995.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:b:e,n,z15,serotype=Yaba
Salmonella enterica	KFB9	"KFB9,""NMSU-KFB9"",""SRS14290300"""		PDT001369108.1	2022-07-25T21:42:42Z	Nigeria	GOAT MEAT	environmental/other	PDS000114678.1	1.0		SAMN29945702	GCA_024441955.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:i:1,5,serotype=Takoradi or Bargny
Salmonella enterica	KFB82	"KFB82,""NMSU-KFB82"",""SRS14290299"""	Ituri	PDT001369109.1	2022-07-25T21:42:42Z	Nigeria	beef	environmental/other				SAMN29945701	GCA_024441875.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:z10:1,5,serotype=Ituri
Salmonella enterica	KFB74	"KFB74,""NMSU-KFB74"",""SRS14290298"""	Wimborne	PDT001369110.1	2022-07-25T21:42:42Z	Nigeria	beef	environmental/other				SAMN29945700	GCA_024441815.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:k:1,2,serotype=Wimborne
Salmonella enterica	KFB63	"KFB63,""NMSU-KFB63"",""SRS14290297"""	Goelzau	PDT001369111.1	2022-07-25T21:42:43Z	Nigeria	beef	environmental/other				SAMN29945699	GCA_024441895.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:a:1,5,serotype=Goelzau
Salmonella enterica	KFB123	"KFB123,""NMSU-KFB123"",""SRS14290292"""	Techimani	PDT001369116.1	2022-07-25T21:42:45Z	Nigeria	beef	environmental/other	PDS000114658.2	0.0		SAMN29945694	GCA_024441855.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=28:c:z6,serotype=Techimani
Salmonella enterica	KFB103	"KFB102.103_002,""KFB103"",""NMSU-KFB103"",""SRS14290291"""	Monschaui	PDT001369117.1	2022-07-25T21:42:45Z	Nigeria	beef	environmental/other	PDS000114659.1	0.0		SAMN29945685	GCA_024441775.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=35:m,t:-,serotype=Monschaui
Salmonella enterica	KFB102	"KFB102,""KFB102.103_001"",""NMSU-KFB102"",""SRS14290290"""		PDT001369118.1	2022-07-25T21:42:45Z	Nigeria	beef	environmental/other				SAMN29945684	GCA_024441755.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=28:b:-,serotype=I 28:b:-
Salmonella enterica	NMSU-KFB97	"KFB 97,""NMSU-KFB97"",""SRS15852148"""		PDT001496387.1	2022-11-23T19:45:08Z	Nigeria	beef	environmental/other				SAMN31852860	GCA_026364575.1	fosA7.2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:g,m,s:-,serotype=Hato
Salmonella enterica	NMSU-KFB96	"KFB 96,""NMSU-KFB96"",""SRS15852147"""		PDT001496388.1	2022-11-23T19:45:08Z	Nigeria	beef	environmental/other				SAMN31852859	GCA_026367515.1	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:g,m:-,serotype=Essen
Salmonella enterica	NMSU-KFB95	"KFB 95,""NMSU-KFB95"",""SRS15852146"""		PDT001496389.1	2022-11-23T19:45:08Z	Nigeria	beef	environmental/other	PDS000114658.2	0.0		SAMN31852858	GCA_026363015.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=28:c:z6,serotype=Techimani
Salmonella enterica	NMSU-KFB83	"KFB 83,""NMSU-KFB83"",""SRS15852141"""		PDT001496393.1	2022-11-23T19:45:08Z	Nigeria	beef	environmental/other				SAMN31852854	GCA_026363035.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=16:l,v:-,serotype=I 16:l,v:-
Salmonella enterica	NMSU-KFB131	"KFB 131,""KFB114.131_002"",""NMSU-KFB131"",""SRS15852138"""		PDT001496397.1	2022-11-23T19:45:09Z	Nigeria	beef	environmental/other	PDS000019571.5	17.0	42.0	SAMN31852864	GCA_026364535.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	NMSU-KFB99	"KFB 99,""NMSU-KFB99"",""SRS15852136"""		PDT001496399.1	2022-11-23T19:45:09Z	Nigeria	beef	environmental/other				SAMN31852862	GCA_026362995.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=28:y:1,5,serotype=Nima
Salmonella enterica	NMSU-KFB98	"KFB 98,""NMSU-KFB98"",""SRS15852135"""		PDT001496400.1	2022-11-23T19:45:10Z	Nigeria	beef	environmental/other				SAMN31852861	GCA_026362135.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=30:b:e,n,x,serotype=Urbana
Salmonella enterica	NMSU-KFB28	"KFB 28,""NMSU-KFB28"",""SRS15852134"""		PDT001496401.1	2022-11-23T19:45:10Z	Nigeria	beef	environmental/other				SAMN31852852	GCA_026364415.1	fosA7.2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:i:1,7,serotype=Truro
